id,timestamp,exchange,depth_buy_total,depth_sell_total,depth_imbalance_ratio,source,created_at
8152,2025-11-28 14:45:27,NSE,8025.0,9075.0,-0.06140350877192982,runtime,2025-11-28 14:45:28
8151,2025-11-28 14:45:17,BSE,3560.0,7160.0,-0.3358208955223881,runtime,2025-11-28 14:45:17
8150,2025-11-28 14:45:03,BANKNIFTY_MONTHLY,4270.0,3290.0,0.12962962962962962,runtime,2025-11-28 14:45:03
8149,2025-11-28 14:45:01,NSE,61800.0,81075.0,-0.13490813648293964,runtime,2025-11-28 14:45:01
8148,2025-11-28 14:44:57,NSE,9075.0,10950.0,-0.09363295880149813,runtime,2025-11-28 14:44:57
8147,2025-11-28 14:44:28,BANKNIFTY_MONTHLY,4900.0,4095.0,0.08949416342412451,runtime,2025-11-28 14:44:28
8146,2025-11-28 14:44:26,NSE,94575.0,56025.0,0.2559760956175299,runtime,2025-11-28 14:44:26
8145,2025-11-28 14:44:26,NSE,8625.0,10725.0,-0.10852713178294573,runtime,2025-11-28 14:44:26
8144,2025-11-28 14:44:22,BSE,2000.0,1180.0,0.2578616352201258,runtime,2025-11-28 14:44:22
8143,2025-11-28 14:43:52,BSE,4300.0,1480.0,0.48788927335640137,runtime,2025-11-28 14:43:52
8142,2025-11-28 14:43:30,NSE,8100.0,6825.0,0.08542713567839195,runtime,2025-11-28 14:43:30
8141,2025-11-28 14:43:22,BSE,4420.0,3020.0,0.1881720430107527,runtime,2025-11-28 14:43:22
8140,2025-11-28 14:42:59,NSE,10125.0,9075.0,0.0546875,runtime,2025-11-28 14:42:59
8139,2025-11-28 14:42:47,BSE,1500.0,1640.0,-0.044585987261146494,runtime,2025-11-28 14:42:47
8138,2025-11-28 14:42:40,BANKNIFTY_MONTHLY,3955.0,3640.0,0.041474654377880185,runtime,2025-11-28 14:42:40
8137,2025-11-28 14:42:29,NSE,10125.0,10200.0,-0.0036900369003690036,runtime,2025-11-28 14:42:29
8136,2025-11-28 14:42:17,BSE,1460.0,1220.0,0.08955223880597014,runtime,2025-11-28 14:42:17
