id,timestamp,exchange,front_month_price,next_month_price,contango_pct,backwardation_pct,current_vix,realized_vol,vix_ma_5d,vix_ma_20d,vix_trend_1d,vix_trend_5d,source,created_at
7513,2025-11-28 12:19:58,NSE,11.24,11.248000000000001,-0.0711237553342896,0.0711237553342896,11.24,0.03152428724890646,11.248000000000001,11.257000000000001,-0.17793594306049443,-0.707964601769912,realtime_snapshot,2025-11-28 12:19:58
7512,2025-11-28 12:19:49,NSE,11.22,11.264,-0.39062499999998856,0.39062499999998856,11.22,0.0333785708296042,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:19:49
7511,2025-11-28 12:19:46,BANKNIFTY_MONTHLY,11.23,11.24,-0.08896797153024721,0.08896797153024721,11.23,0.03945301919251468,11.24,11.270999999999999,0.17793594306049443,0.2671415850400655,realtime_snapshot,2025-11-28 12:19:46
7510,2025-11-28 12:19:27,NSE,11.24,11.264,-0.21306818181817413,0.21306818181817413,11.24,0.03096292911472197,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:19:28
7509,2025-11-28 12:18:57,NSE,11.26,11.264,-0.035511363636359726,0.035511363636359726,11.26,0.03502806065472543,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:18:57
7508,2025-11-28 12:18:55,BANKNIFTY_MONTHLY,11.26,11.234,0.23144027060708386,-0.23144027060708386,11.26,0.03961653074759542,11.234,11.273,0.0,-0.35460992907800665,realtime_snapshot,2025-11-28 12:18:55
7507,2025-11-28 12:18:26,NSE,11.23,11.264,-0.30184659090908134,0.30184659090908134,11.23,0.03215920756969381,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:18:26
7506,2025-11-28 12:18:07,BSE,11.24,11.284,-0.38993264799716837,0.38993264799716837,11.24,0.024192126628418294,11.284,11.273,0.08873114463176386,-0.08857395925597686,realtime_snapshot,2025-11-28 12:18:07
7505,2025-11-28 12:17:55,NSE,11.24,11.264,-0.21306818181817413,0.21306818181817413,11.24,0.0293261573483955,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:17:56
7504,2025-11-28 12:17:46,BANKNIFTY_MONTHLY,11.24,11.242,-0.017790428749338796,0.017790428749338796,11.24,0.00586038220625404,11.242,11.274999999999999,0.08904719501335517,-0.17761989342806014,realtime_snapshot,2025-11-28 12:17:46
